씨;Pan / Pani;Mr. / Ms.
휴가;wakacje;a vacation
아기;dziecko;a baby
과제;zadanie;an assignment
완성하다;ukończyć / zakończyć;to complete
실례;przepraszam (przepraszam, gdzie jest...);excuse me
결혼식;ceremonia ślubna;a wedding ceremony
아주머니;kobieta w średnim wieku;a middle-aged woman
요리;gotowanie;cooking
창문;okno;a window
옛날;stary (wiek);old
회사원;pracownik biurowy;an office worker
건강;zdrowie;health
등;ranga;a rank
톄니스;tenis;a tennis
방법;metodad;a method
김;wodorost;seaweed
직업;praca;a job
왼쪽;lewa strona / po lewej stronie;left
봄;wiosna;spring
신발;buty;shoes
남편;mąż;a husband
명사;rzeczownik;a noun
가을;jesień;fall
쓰기;pisanie (czyność) / pismo;writing
아래;pod (czymś);under
차로;podjazd;a drive-way
치마;spódnica;a skirt
목;szyja;a neck
작년;w zeszłym roku;last year
회의;spotkanie;a meeting
댁;dom (honoryfikatywnie);a house (honorifics)
청소;czyszczenie;cleaning
모자;czapka;a hat
한복;koreańskie ubranie tradycyjne;Korean traditional clothes
호;numer pokoju;a room number
기숙사;akademik / dormitorium;a dormitory
다리;noga;a leg
다리;most;a bridge
말씀;słowo / mowa (honoryfikatywnie);speaking (honorifics)
색;kolor;color
연필;ołówek;a pencil
읽기;czytanie;reading
자전저;rower;a bicycle
주스;sok;juice
이메일;email;an email
도시;miasto;a city
계절;sezon;a season
손;dłoń;a hand
수요일;środa;Wednesday
몸;ciało;a body
바람;wiatr;wind
외국;obcy kraj;a foreign country
자동차;samochód / auto;a car
시내;śródmieście;a downtown
빈칸;puste miesce;a blank
아파트;apartament / mieszkanie;an apartment
음악;muzyka;music
공항;lotnisko;an airport
야구;baseball;a baseball
교통;ruch drogowy;traffic
나이;wiek;age
병;butelka;a bottle
이유;powód;a reason
콜라;cola (napój);coke (drink)
이제;teraz;now
가수;piosenkarz;a singer
문제;problem;a problem
자리;miejsce / siedzenie;a seat
춤;taniec;dancing
맛;smak;taste
점원;urzędnik;a clerk
그릇;miska;a bowl
공책;notatnik / zeszyt;a notebook
김밥;kimbap (jedzenie);kimbap (food)
맥주;piwo;beer
결혼;małżeństwo;marriage
권;tom;a volume
고앙이;kot;a cat
태권도;taekwondo;taekwondo
건물;budynek;a building
일주일;tydzień;a week
기본;podstawowy;basics
오빠;starszy brat;an elder brother
볼펜;długopis;a ballpoint pen
요일;dzień tygodnia;a day of the week
피자;pizza;pizza
목요일;czwartek;Thursday
주소;adres;an address
운동화;adidasy;sneakers
안내;informacja / instruktaż;guidance
얼굴;twarz;face
오전;rano;morning
케이크;ciasto;a cake
요리;kuchnia jako sposób gotowania;cuisine
팔;ramię;an arm
팔;osiem;eight
나무;drzewo;a tree
공연;występ;a performance
전통;tradycja;tradition
나중;później;later
학기;semestr;a semester
모임;spotkanie;a meeting
정도;o (czymś);about
개월;misiąc;a month
누나;starsza siostra;an elder sister
안경;okulary;glasses
화요일;wtorek;Tuesday
설날;księżycowy nowy rok;the Lunar new Year's Day
여동생;młodsza siostra;a younger sister
화장실;toaleta;a toilet
박물관;muzeum;a museum
오랜만;długi czas;a long time
그때;ówcześnie;at that time
수영장;basen;a swimming pool
지갑;portfel;a wallet
소개;przedstawienie (np. kogoś);introduction
지난주;w zeszły weekend;last weekend
사장;prezydent;a president
시청;ratusz;a city hall
피아노;fortepian;a piano
농구;koszykówka;a basketball
구경;zwiedzanie / oglądanie;sightseeing
기사;kierowca;a driver
스키;jeździć na nartach;ski
여권;paszport;a passport
모음;samogłoska;a vowel
잘못;błąd / źle;wrong
게임;zabawa;a game (not computer game)
기타;gitara;a guitar
라면;makaron błyskawiczny;instant noodles
박;noc;a night
일본어;język japoński;Japanese language
쪽;strona (np. w książce);a page
쪽;strona (np. lewa strona);a side
김치찌개;gulasz kimchi;kimchi stew
성격;osobowość;personality
노래방;karaoke;karaoke
사거리;skrzyżowanie (dróg);intersection
커피숍;kawiarnia;a coffee shop
대학생;student;a college student
완성;ukończenie;completion
화가;malarz;a painter
꿈;sen;a dream
놀이;gra;a game
냉장고;lodówka;a refrigerator
연극;sztuka (teatr) / dramat;a play (theater)
걱정;martwić się;worry
점;punkty;points
종이;papier;paper
엄마;matka;a mother
운전;jazda (samochodem);driving
목표;cel (do osiągnięcia);a goal
민속촌;wieś ludowa;a folk village
받침;końcowa spółgłoska;a final consonant
계속;kontynuacja;continuously
대답;odpowiedź;an answer
슈퍼마켓;supermarket;a supermarket
이사;poruszający;moving
정류장;przystanek;a stop
활동;aktywność;an activity
기침;kaszel;coughing
남공생;młodszy brak;a younger brother
소포;paczka;a package
경치;sceneria;scenery
여행사;biuro podróży;a travel agency
직접;osobiście;in person
고기;mięso;meat
설명;wyjaśnienie;explanation
침대;łóżko;a bed
형용사;przymiotnik;an adjective
주일;tydzień;a week
통장;książeczka bankowa;a bankbook
자신;pewność siebie;confidence
수도;stolica państwa;capital
운동장;plac zabaw;a playground
자음;spółgłoska;a consonant
휴대전화;telefon komórkowy;a cellular phone
일기;pogoda;weather
