"słownictwo (vocabulary)","어휘"
"papieros (a cigarette)","담배"
"babcia (a grandmother)","할머니"
"gramatyka (grammar)","문법"
"blisko (near / close)","근처"
"życie (a life)","생활"
"mężczyzna w średnim wieku (a middle-aged man)","아저씨"
"poniedziałek (Monady)","월요일"
"dzień (a day)","하루"
"owoc (fruit)","과일"
"buty (shoes)","구두"
"spodnie (pants)","바지"
"morze (the sea)","바다"
"hobby (a hobby)","취미"
"ubrania (clothes)","옷"
"kilka dni (a few days)","며칠"
"sen (a sleep)","잠"
"kultura (culture)","문화"
"poza / na zewnątrz (outside)","밖"
"pensjonat (a boarding house)","하숙집"
"wypadek (an accident)","사고"
"piątek (Friday)","금요일"
"wspinaczka górska (mountain climbing)","등산"
"drzwi (a door)","문"
"cena (price)","값"
"wymowa (pronunciation)","발음"
"samochód (a car)","차"
"herbata (tea)","차"
