"słownictwo (vocabulary)","어휘"
"papieros (a cigarette)","담배"
"babcia (a grandmother)","할머니"
"gramatyka (grammar)","문법"
"blisko (near / close)","근처"
"życie (a life)","생활"
"mężczyzna w średnim wieku (a middle-aged man)","아저씨"
"poniedziałek (Monady)","월요일"
"dzień (a day)","하루"
"owoc (fruit)","과일"
"buty (shoes)","구두"
"spodnie (pants)","바지"
"morze (the sea)","바다"
"hobby (a hobby)","취미"
"ubrania (clothes)","옷"
"kilka dni (a few days)","며칠"
"sen (a sleep)","잠"
"kultura (culture)","문화"
"poza / na zewnątrz (outside)","밖"
"pensjonat (a boarding house)","하숙집"
"wypadek (an accident)","사고"
"piątek (Friday)","금요일"
"wspinaczka górska (mountain climbing)","등산"
"drzwi (a door)","문"
"cena (price)","값"
"wymowa (pronunciation)","발음"
"samochód (a car)","차"
"herbata (tea)","차"
"krzesło (a chair)","의자"
"nowy (new)","새"
"zegarek (a watch)","시계"
"sam (alone)","혼자"
"plan (a plan)","계획"
"stacja (a station)","역"
"słownik (a dictionary)","사전"
"prawidłowy (right)","오른쪽"
"mleko (milk)","우유"
"właściciel (an owner)","주인"
"kartka papieru (a sheet)","장"
"biuro (an office)","사무실"
"-ty / -ta / -te (liczebniki np. piąty) (-th (Ordinal numbers))","번째"
"starsza siostra (an elder sister)","언니"
"myśl (thought)","생강"
"piłka nożna (soccer)","축구"
"internet (internet)","인터넷"
"treść / zawartość (content)","내용"
"hotel (a hotel)","호텔"
"parasol (an umbrella)","우산"
"księgarnia (a bookstore)","서점"
"zimny makaron (cold noodles)","냉면"
"wakacje (a vacation)","휴가"
"dziecko (a baby)","아기"
"zadanie (an assignment)","과제"
"ukończyć / zakończyć (to complete)","완성하다"
"przepraszam (przepraszam, gdzie jest...) (excuse me)","실례"
"ceremonia ślubna (a wedding ceremony)","결혼식"
"kobieta w średnim wieku (a middle-aged woman)","아주머니"
"gotowanie (cooking)","요리"
"okno (a window)","창문"
"stary (wiek) (old)","옛날"
"pracownik biurowy (an office worker)","회사원"
"zdrowie (health)","건강"
"ranga (a rank)","등"
"tenis (a tennis)","톄니스"
"metodad (a method)","방법"
"wodorost (seaweed)","김"
"praca (a job)","직업"
"lewa strona / po lewej stronie (left)","왼쪽"
"wiosna (spring)","봄"
"buty (shoes)","신발"
"mąż (a husband)","남편"
"rzeczownik (a noun)","명사"
"jesień (fall)","가을"
"pisanie (czyność) / pismo (writing)","쓰기"
"pod (czymś) (under)","아래"
"podjazd (a drive-way)","차로"
"spódnica (a skirt)","치마"
"szyja (a neck)","목"
"w zeszłym roku (last year)","작년"
"spotkanie (a meeting)","회의"
"dom (honoryfikatywnie) (a house (honorifics))","댁"
"czyszczenie (cleaning)","청소"
"czapka (a hat)","모자"
"koreańskie ubranie tradycyjne (Korean traditional clothes)","한복"
"numer pokoju (a room number)","호"
"akademik / dormitorium (a dormitory)","기숙사"
"noga (a leg)","다리"
"most (a bridge)","다리"
"słowo / mowa (honoryfikatywnie) (speaking (honorifics))","말씀"
"kolor (color)","색"
"ołówek (a pencil)","연필"
"czytanie (reading)","읽기"
"rower (a bicycle)","자전저"
"sok (juice)","주스"
"email (an email)","이메일"
"miasto (a city)","도시"
"sezon (a season)","계절"
"dłoń (a hand)","손"
"środa (Wednesday)","수요일"
"ciało (a body)","몸"
"wiatr (wind)","바람"
"obcy kraj (a foreign country)","외국"
"samochód / auto (a car)","자동차"
"śródmieście (a downtown)","시내"
"puste miesce (a blank)","빈칸"
"apartament / mieszkanie (an apartment)","아파트"
"muzyka (music)","음악"
"lotnisko (an airport)","공항"
"baseball (a baseball)","야구"
"ruch drogowy (traffic)","교통"
"wiek (age)","나이"
"butelka (a bottle)","병"
"powód (a reason)","이유"
"cola (napój) (coke (drink))","콜라"
"teraz (now)","이제"
"piosenkarz (a singer)","가수"
"problem (a problem)","문제"
"miejsce / siedzenie (a seat)","자리"
"taniec (dancing)","춤"
"smak (taste)","맛"
"urzędnik (a clerk)","점원"
"miska (a bowl)","그릇"
"notatnik / zeszyt (a notebook)","공책"
"kimbap (jedzenie) (kimbap (food))","김밥"
"piwo (beer)","맥주"
"małżeństwo (marriage)","결혼"
"tom (a volume)","권"
"kot (a cat)","고앙이"
"taekwondo (taekwondo)","태권도"
"budynek (a building)","건물"
"tydzień (a week)","일주일"
"podstawowy (basics)","기본"
"starszy brat (an elder brother)","오빠"
"długopis (a ballpoint pen)","볼펜"
"dzień tygodnia (a day of the week)","요일"
"pizza (pizza)","피자"
"czwartek (Thursday)","목요일"
"adres (an address)","주소"
"adidasy (sneakers)","운동화"
"informacja / instruktaż (guidance)","안내"
"twarz (face)","얼굴"
"rano (morning)","오전"
"ciasto (a cake)","케이크"
"kuchnia jako sposób gotowania (cuisine)","요리"
"ramię (an arm)","팔"
"osiem (eight)","팔"
"drzewo (a tree)","나무"
"występ (a performance)","공연"
"tradycja (tradition)","전통"
"później (later)","나중"
"semestr (a semester)","학기"
"spotkanie (a meeting)","모임"
"o (czymś) (about)","정도"
"misiąc (a month)","개월"
"starsza siostra (an elder sister)","누나"
"okulary (glasses)","안경"
"wtorek (Tuesday)","화요일"
"księżycowy nowy rok (the Lunar new Year's Day)","설날"
"młodsza siostra (a younger sister)","여동생"
"toaleta (a toilet)","화장실"
"muzeum (a museum)","박물관"
"długi czas (a long time)","오랜만"
"ówcześnie (at that time)","그때"
"basen (a swimming pool)","수영장"
"portfel (a wallet)","지갑"
"przedstawienie (np. kogoś) (introduction)","소개"
"w zeszły weekend (last weekend)","지난주"
"prezydent (a president)","사장"
"ratusz (a city hall)","시청"
"fortepian (a piano)","피아노"
"koszykówka (a basketball)","농구"
"zwiedzanie / oglądanie (sightseeing)","구경"
"kierowca (a driver)","기사"
"jeździć na nartach (ski)","스키"
"paszport (a passport)","여권"
"samogłoska (a vowel)","모음"
"błąd / źle (wrong)","잘못"
"zabawa (a game (not computer game))","게임"
"gitara (a guitar)","기타"
"makaron błyskawiczny (instant noodles)","라면"
"noc (a night)","박"
"język japoński (Japanese language)","일본어"
"strona (np. w książce) (a page)","쪽"
"strona (np. lewa strona) (a side)","쪽"
"gulasz kimchi (kimchi stew)","김치찌개"
"osobowość (personality)","성격"
"karaoke (karaoke)","노래방"
"skrzyżowanie (dróg) (intersection)","사거리"
"kawiarnia (a coffee shop)","커피숍"
"student (a college student)","대학생"
"ukończenie (completion)","완성"
"malarz (a painter)","화가"
"sen (a dream)","꿈"
"gra (a game)","놀이"
"lodówka (a refrigerator)","냉장고"
"sztuka (teatr) / dramat (a play (theater))","연극"
"martwić się (worry)","걱정"
"punkty (points)","점"
"papier (paper)","종이"
"matka (a mother)","엄마"
"jazda (samochodem) (driving)","운전"
"cel (do osiągnięcia) (a goal)","목표"
"wieś ludowa (a folk village)","민속촌"
"końcowa spółgłoska (a final consonant)","받침"
"kontynuacja (continuously)","계속"
"odpowiedź (an answer)","대답"
"supermarket (a supermarket)","슈퍼마켓"
"poruszający (moving)","이사"
"przystanek (a stop)","정류장"
"aktywność (an activity)","활동"
"kaszel (coughing)","기침"
"młodszy brak (a younger brother)","남공생"
"paczka (a package)","소포"
"sceneria (scenery)","경치"
"biuro podróży (a travel agency)","여행사"
"osobiście (in person)","직접"
"mięso (meat)","고기"
"wyjaśnienie (explanation)","설명"
"łóżko (a bed)","침대"
"przymiotnik (an adjective)","형용사"
"tydzień (a week)","주일"
"książeczka bankowa (a bankbook)","통장"
"pewność siebie (confidence)","자신"
"stolica państwa (capital)","수도"
"plac zabaw (a playground)","운동장"
"spółgłoska (a consonant)","자음"
"telefon komórkowy (a cellular phone)","휴대전화"
"pogoda (weather)","일기"
